Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Asia,KGZ,Kyrgyzstan,5686965.217391305,30.991975855260865,5.29335982464155,0.8897823883934153,566.9629235695652,1598.3852608695652,12889.772217391304,29.8,42.8,25.1,56.2
Asia,KHM,Cambodia,14528510.260869564,15.689216325565218,1.025696825561617,0.282007748342422,36.96534256656522,1830.0247826086957,1652.2368260869566,31.2,31.2,9.4,0.0
Asia,KOR,Republic of Korea (the),49771997.26086956,0.0,0.0,0.024062607315455703,158.3763198450435,463416.95652173914,12775.61652173913,45.7,50.6,37.2,52.6
Asia,KWT,Kuwait,3190886.1304347827,0.0,0.0,0.001274429585554967,5.057270625956521,57748.153391304346,104.41395652173914,46.2,44.4,36.6,38.6
Asia,LAO,Lao People's Democratic Republic (the),6436044.695652174,382.45223796469566,57.3183321735844,0.9700223504643115,463.77140260826087,1317.06,15063.911086956523,24.3,26.3,0.0,0.0
Asia,LBN,Lebanon,5246287.478260869,8.992122691086957,1.5455096917463915,0.06507591232483952,62.43470466869565,11713.140739130436,762.5582173913043,32.0,39.9,32.8,47.8
Asia,LKA,Sri Lanka,20648129.347826086,213.59328550804346,10.394696112555144,0.4226216155950247,82.33899256326086,6762.535521739131,4904.199130434783,37.0,38.8,38.1,44.2
Asia,MDV,Maldives,389181.95652173914,11.548956787434781,26.209435093654662,0.01583340749228799,16.290770851434782,570.0953478260869,12.121260869565218,35.3,38.1,24.2,30.4
Asia,MMR,Myanmar,49921554.73913044,56.83526721908695,1.1367659115312705,0.5683499684715096,39.91591366837391,5771.53695652174,7657.767913043479,28.5,27.1,47.2,3.6
Asia,MNG,Mongolia,2827537.434782609,43.346590827086956,14.670071388223516,0.022770868676156693,30.449249772608695,5887.9695652173905,204.60991304347826,31.8,37.2,0.0,38.2
Asia,MYS,Malaysia,28908678.304347824,28.225676357478264,1.2058470248870048,0.10754510634901478,167.81789610169565,110858.79043478261,14649.584826086957,33.7,41.0,35.7,41.3
Asia,NPL,Nepal,27282108.913043477,80.56489597234783,2.911415493299976,0.9960247416181541,30.910569461565213,8.765782608695652,3792.971565217391,32.4,33.1,5.6,5.2
Asia,OMN,Oman,3412140.3913043477,24.273021165782605,7.6607034491272135,0.002929779385322518,11.488070876391305,23704.386347826083,120.21139130434783,38.4,51.3,15.5,47.9
Asia,PAK,Pakistan,196172699.86956522,1017.1948618304784,4.951295498786245,0.3091305371180905,41.1920360543913,73706.11304347827,32912.590304347825,29.5,25.5,43.6,35.7
Asia,PHL,Philippines (the),96504403.56521739,58.688507614956514,0.6260205351537556,0.28275116728345084,54.346884874217395,54176.55030434783,19835.34204347826,31.7,32.1,37.1,31.4
Asia,PRK,Democratic People's Republic of Korea (the),24780204.652173914,6.582725393913043,0.27775788413218094,0.5669468428293031,186.14391246608696,9747.826086956522,12757.230739130437,45.07947132616487,47.412284946236554,39.76301971326165,44.27464456391876
Asia,PSE,State of Palestine (the),3908889.8260869565,8.590074782608696,1.8755570845156468,0.05195390106347725,5.938118954608695,441.78765217391305,40.21186956521739,45.831323343157024,48.11467175911838,40.6522140618829,45.12854674490419
Asia,QAT,Qatar,1775093.043478261,6.917104939130434,2.505847894091018,0.0012409372626604725,17.84790641582609,30560.82591304348,56.57369565217391,41.2,46.8,21.0,40.7
Asia,SAU,Saudi Arabia,29509767.739130434,109.91977421739129,3.4988246108708725,0.000582341965754124,1.6532376729565217,269330.55160869565,232.34782608695653,33.0,42.5,33.9,46.5
Asia,SGP,Singapore,5000911.0869565215,4.853478260869565,0.8899641557229829,0.015448520396856123,49.48047540043478,44552.05217391305,720.3692173913042,46.5,53.0,43.7,51.9
Asia,SYR,Syrian Arab Republic (the),19911456.086956523,22.54742442017391,1.0187750196828183,0.07666331598199118,67.94732378073913,27273.747391304347,2339.277652173913,45.83132334315702,48.11467175911838,40.65221406188291,45.12854674490419
Asia,THA,Thailand,68253288.26086956,142.30890601004347,2.03813588947478,0.1221325401482172,97.65985326304347,138575.93847826085,20017.98695652174,41.2,45.7,39.5,50.0
Asia,TJK,Tajikistan,7929455.304347826,57.74595426217391,6.766606839339771,0.9698315320367455,591.1615157070435,570.9694347826087,16916.283826086958,36.5,32.3,47.9,0.0
Asia,TKM,Turkmenistan,5425580.260869565,1.5332404142782607,0.24915517784249583,0.00018809264191883325,0.23730959430434784,19487.21604347826,3.154,35.7,40.6,34.5,49.5
Asia,TLS,Timor-Leste,1109096.2608695652,1.3138185977391306,1.2451985589101788,0.0059648543202814085,0.4213779974782609,263.7121739130435,1.5311739130434783,40.3,49.9,30.4,46.2
Asia,TUR,Türkiye,74415673.13043478,457.2527124245652,5.933427545408664,0.2828320826183149,330.205063257087,158007.157,67022.44908695652,35.6,37.2,35.2,40.9
Asia,UZB,Uzbekistan,29411150.0,279.65835669195656,8.723608164622961,0.1450165837175474,62.07401516343478,45468.78986956522,7553.246869565218,43.9,42.6,59.2,46.8
Asia,VNM,Viet Nam,88525865.04347827,898.4510850917825,10.134955206177105,0.40937992757804903,156.5067819660913,71621.57982608696,49574.36091304348,28.3,24.6,23.9,10.8
Asia,YEM,Yemen,25736817.782608695,35.346844526043476,1.2827211549349549,0.039431418485191765,2.0897029277391304,4972.138304347826,130.02747826086957,46.00891556905458,48.27742585142431,40.86774228199758,45.33089073660549
Europe,ALB,Albania,2930282.347826087,23.12840333369565,7.960456291044788,0.9886281474057964,595.0438813484783,49.04347826086956,5476.524304347827,46.1,52.2,37.8,54.7
